list	has_preview	trial	paragraph_id	article_id	article_title	paragraph_level	paragraph	question_id	question	a	b	c	d	correct_answer place in the a b c d ; 3=d 	answers_order	Aspan_inds	Dspan_inds
1	1	84	2	14	Why is Sweden closing its prisons?	Adv	"“The modern prison service in Sweden is very different from when I joined as a young prison officer in 1978,” says Kenneth Gustafsson, governor of Kumla Prison, Sweden’s most secure jail, situated 130 miles west of Stockholm. However, he doesn’t think the system has gone soft. “When I joined, the focus was very much on humanity in prisons. Prisoners were treated well – maybe too well, some might say. But, after a number of high-profile escapes in 2004, we had to rebalance and place more emphasis on security.” Despite the hardening of attitudes toward prison security following the escape scandals, the Swedes still managed to maintain a broadly humane approach to sentencing, even of the most serious offenders: jail terms rarely exceed ten years; those who receive life imprisonment can still apply to the courts after a decade to have the sentence commuted to a fixed term, usually in the region of 18 to 25 years. Sweden was the first country in Europe to introduce the electronic tagging of convicted criminals and continues to strive to minimize short-term prison sentences wherever possible by using community-based measures, which have been proven to be more effective at reducing reoffending."	0	How have prisons in Sweden changed since 2004?	Prison sentences have been kept short	Prisons have been made more secure	Prisons are constructed with better materials	Prisoners have been treated better	1	[2 0 3 1]	"[(69, 88)]"	"[(176, 180)]"
1	1	85	3	14	Why is Sweden closing its prisons?	Ele	"The overall reoffending rate in Sweden stands at between 30 and 40% over three years – to compare that with another European country, the number is around half that of the UK. One likely reason for the relatively low reoffending rate and the low rate of incarceration in Sweden (below 70 per 100,000 head of population) is that the age of criminal responsibility is set at 15. In the UK, for example, children aged ten to 17 and young people under the age of 21 record the highest reoffending rates: almost three quarters and two thirds, respectively. A good proportion of these offenders go on to populate adult jails. In Sweden, no young person under the age of 21 can be sentenced to life – this is not the case in many other countries – and every effort is made to ensure that as few juvenile offenders as possible end up in prison."	2	What has kept reoffending down in Sweden?	"The number of prisoners in Sweden is below 70 per 100,000 people"	Prisoners don’t want to return to the harsh conditions of Swedish jails	Criminals under the age of 15 are not held responsible for crimes they commit	40% of criminals in Sweden are reoffenders	2	[1 3 0 2]	"[(32, 67)]"	"[(0, 12)]"
1	1	86	4	14	Why is Sweden closing its prisons?	Int	"One strong reason for the drop in prison numbers might be the amount of post-prison support available in Sweden. A confident probation service – a government agency – is tasked not only with supervising those on probation but is also guaranteed to provide treatment programs for offenders with drug, alcohol or violence issues. The service is assisted by around 4,500 lay supervisors – members of the public who volunteer to befriend and support offenders under supervision. “In Sweden, we believe very much in the concept of rehabilitation, without being naive of course,” says Gustafsson. “There are some people who will not or cannot change. But, in my experience, the majority of prisoners want to change, and we must do what we can to help to facilitate that. It is not always possible to achieve this in one prison sentence."	2	The treatment programs intended to help...	Government workers like Gustafsson	All prisoners except those on probation	The family members of prisoners	Offenders with drug or alcohol problems	3	[2 1 3 0]	"[(19, 53)]"	"[(93, 94)]"
1	1	87	1	15	Neuroscientist create atlas of the brain	Ele	"Scientists have created an “atlas of the brain” that reveals how the meanings of words are arranged across different regions of the organ. Like a colorful quilt laid over the cortex, the atlas displays in rainbow hues how individual words and the concepts they convey can be grouped together in clumps of white matter. “Our goal was to build a giant atlas that shows how one specific aspect of language is represented in the brain, in this case semantics or the meanings of words,” said Jack Gallant, a neuroscientist at the University of California, Berkeley."	1	What does this atlas show?	How we associate word with meaning	How meanings of words are represented in the brain	How we organize our ideas in the brain	How different brain regions organize the same word	1	[1 0 3 2]	"[(54, 84)]"	"[(4, 23)]"
1	1	88	2	15	Neuroscientist create atlas of the brain	Ele	"No single brain region holds one word or concept. A single brain spot is associated with a number of related words. And, each single word lights up many different brain spots. Together, they make up networks that represent the meanings of each word we use: life and love, death and taxes, clouds, Florida and bra. All light up their own networks. Described as a “tour de force” by one researcher who was not involved in the study, the atlas demonstrates how modern imaging can transform our knowledge of how the brain performs some of its most important tasks. With further advances, the technology could have a profound impact on medicine and other fields. “It is possible that this approach could be used to decode information about what words a person is hearing, reading or possibly even thinking,” said Alexander Huth, the first author on the study. One potential use would be a language decoder that could allow people silenced by motor neurone disease or locked-in syndrome to speak through a computer."	0	How are meanings of each word represented in the brain?	A single brain spot	A combination of brain spots representing a letter	A network of spots in a single brain region	A network of brain spots	3	[2 1 3 0]	"[(21, 45)]"	"[(9, 21)]"
1	1	89	3	15	Neuroscientist create atlas of the brain	Int	"To create the atlas, the scientists recorded people’s brain activity while they listened to stories read out on The Moth Radio Hour, a US radio show. They then matched the transcripts of the stories with the brain activity data to show how groups of related words triggered neural responses in 50,000 to 80,000 pea-sized spots all over the cerebral cortex. Huth used stories from The Moth Radio Hour because they are short and compelling. The more enthralling the stories, the more confident the scientists could be that the people being scanned were focusing on the words and not drifting off. Seven people listened to two hours of stories each. Per person, that amounted to hearing roughly 25,000 words – and more than 3,000 different words – as they lay in the scanner."	0	How did the scientists create the atlas?	They recorded brain activity as people listened to songs	They matched the listened words to brain activity	They recorded brain activity as people reading words	They compared brain activity to how interesting the stories were	1	[1 0 3 2]	"[(0, 60)]"	"[(60, 100)]"
1	1	90	4	15	Neuroscientist create atlas of the brain	Adv	"The atlas shows how words and related terms exercise the same regions of the brain. For example, on the left-hand side of the brain, above the ear, is one of the tiny regions that represents the word “victim”. The same region responds to “killed”, “convicted”, “murdered” and “confessed”. On the brain’s right-hand side, near the top of the head, is one of the brain spots activated by family terms: “wife”, “husband”, “children”, “parents”. Each word is represented by more than one spot because words tend to have several meanings. One part of the brain, for example, reliably responds to the word “top”, along with other words that describe clothing. But, the word “top” activates many other regions. One of them responds to numbers and measurements, another to buildings and places. The scientists have created an interactive website where the public can explore the brain atlas."	2	Which words appear in the same region of the brain as “victim”	“Murdered” and “killed”	“Husband” and “children”	“Top” and “pants”	“Bully” and “bystander”	0	[0 1 2 3]	"[(15, 73)]"	"[(89, 109)]"
1	1	91	5	15	Neuroscientist create atlas of the brain	Adv	"Strikingly, the brain atlases were similar for all the participants, suggesting that their brains organized the meanings of words in the same way. The scientists only scanned five men and two women, however. All are native English speakers and two are authors of the study published in Nature. It is highly possible that people from different backgrounds and cultures will have different semantic brain atlases. Lorraine Tyler, a cognitive neuroscientist and head of the Center for Speech, Language and the Brain at Cambridge University, said the research was a “tour de force in its scope and methods”. But, the brain atlas in its current form does not capture fine differences in word meanings. “While this research is path-breaking in its scope, there is still a lot to learn about how semantics is represented in the brain.”"	1	What is a limitation of this study?	The same word can be represented in different areas	Significantly more women were scanned	Not enough words were represented	Small differences in meaning are hard to distinguish	3	[1 2 3 0]	"[(97, 113)]"	"[(23, 33)]"
1	1	92	1	16	Swarthy blue-eyed caveman revealed	Adv	"DNA taken from the wisdom tooth of a European hunter-gatherer has given scientists an unprecedented glimpse of modern humans before the rise of farming. The Mesolithic man, who lived in Spain around 7,000 years ago, had an unusual mix of blue eyes, black or brown hair and dark skin, according to analyses of his genetic make-up. He was probably lactose intolerant and had more difﬁculty digesting starchy foods than the farmers who transformed diets and lifestyles when they took up tools in the ﬁrst agricultural revolution."	0	What was unusual about the Mesolithic man?	He had blond hair and dark skin	He was a European hunter-gatherer	He had six fingers on one hand	He had blue eyes and dark skin	3	[1 2 3 0]	"[(24, 56)]"	"[(8, 10)]"
1	1	93	2	16	Swarthy blue-eyed caveman revealed	Ele	"The invention of farming brought humans and animals into much closer contact and humans likely evolved more robust immune systems to fend off infections that the animals passed on. But scientists may have overestimated the impact farming had in shaping the human immune system, because tests on the hunter-gatherer’s DNA found that he already carried mutations that boost the immune system to tackle various nasty bugs. Some live on in modern Europeans today. “Before we started this work, I had some ideas of what we were going to ﬁnd,” said Carles Lalueza-Fox, who led the study at the Institute of Evolutionary Biology in Barcelona. “Most of those ideas turned out to be completely wrong.”"	2	What possibly incorrect assumption did scientists make about the human immune system?	Hunter-gatherers had similar DNA to the first farmers	Hunter-gatherers had an average number of disease-fighting genes	The invention of farming largely impacted it	Europeans have stronger immune systems than other populations	2	[3 1 0 2]	"[(29, 66)]"	"[(66, 73)]"
1	1	94	3	16	Swarthy blue-eyed caveman revealed	Ele	"The Spanish team started their work after a group of cavers stumbled upon two skeletons in a deep and complex cave system high up in the Cantabrian Mountains of northwest Spain in 2006. The human remains, which belonged to two men in their early 30s, had been extremely well preserved by the cool environment of the cave. Carbon dating put the remains at around 7,000 years old, before farming had swept into Europe from the Middle East. The timing ﬁtted with ancient artifacts found at the site, including perforated reindeer teeth that were strung and hung from the people’s clothing."	0	What did carbon dating tell us about the skeletons?	They hunting mammoths	They were hunter-gatherers	They belonged to two 30-year-old men	They arrived in Europe from the Middle East	1	[3 0 2 1]	"[(57, 77)]"	"[(33, 45)]"
1	1	95	4	16	Swarthy blue-eyed caveman revealed	Ele	"On top of the scientiﬁc impact, artists might have to rethink their drawings of the people. “You see a lot of reconstructions of these people hunting and gathering and they look like modern Europeans with light skin. You never see a reconstruction of a Mesolithic hunter-gatherer with dark skin and blue eye colour,” Lalueza-Fox said. The Spanish team went on to compare the genome of the hunter-gatherer to those of modern Europeans from different regions to see how they might be related. They found that the ancient DNA most closely matched the genetic makeup of people living in northern Europe, in particular Sweden and Finland."	1	How did the Spanish team compare hunter gatherers to Europeans?	By studying their appearances and seeing who looked similar	By examining their diets and contrasting them	By tracing back ancestries to see how they were related	By studying DNA to find genetic similarities	3	[2 3 1 0]	"[(55, 105)]"	"[(16, 53)]"
1	1	96	1	17	The Secrets of the Mystery Shopper	Int	"There are approximately 50,000 mystery shopping trips carried out every month in the UK, according to the Mystery Shopping Providers Association, and, as more and more spending takes place online, the demand for mystery shoppers is growing. “Retailers are becoming increasingly aware that shoppers who are prepared to set foot in a physical store want a service and an experience they can’t get online,” says Simon Boydell, spokesman for Marketforce, which has more than 300,000 mystery shoppers on its books. “Our clients want to measure how well their stores are delivering on that experience.”"	1	What is Marketforce?	An online shopping company	An organization of grocery stores	A company that has been visited by mystery shoppers	A company that hires mystery shoppers	3	[2 3 1 0]	"[(67, 80)]"	"[(26, 30)]"
1	1	97	2	17	The Secrets of the Mystery Shopper	Int	"“We assign different store locations to each shopper and rotate them so that they never go back to the same shop within three months,” says Jill Spencer of mystery shopping company ABa. “Each day, they typically spend up to eight hours visiting five to ten stores, plus another hour or two filing detailed reports on every aspect of their visit.” For that, the mystery shoppers can earn up to £155 a day. They are also reimbursed for their gasoline and hotel stays, and compensated for their car depreciation (the shoppers can be expected to drive as many as 20,000 miles a year). Meanwhile, video mystery shoppers, who film their visits with a hidden camera planted in a buttonhole or handbag, can earn even more – around £300 a day."	2	How do mystery shoppers generally communicate their experiences?	By documenting their store visits through written reports	By publishing store reviews in magazines	By visiting stores for up to 8 hours	By filming their visits with a hidden camera	0	[0 3 1 2]	"[(32, 60)]"	"[(102, 129)]"
1	1	98	3	17	The Secrets of the Mystery Shopper	Int	"Shoppers are usually repaid any money they spend in the stores and may also be allowed to keep the products they buy. “I’m typically given between £5 and £20 to spend at each store, to assess the service I receive at the counter,” says Laura, a 50-year-old mystery shopper from Devon, who has been paid to visit around 7,000 shops since 2001. The purchase usually has to be related to a service or a type of product that the retailer wants her to check. “I’m always given a scenario, such as buying something from a specific department or a new product range, but, within that framework, I can often buy whatever I want – and keep it.”"	0	Why does Laura get between £5 and £20 to spend?	So she can assess the service at the counter	To avoid suspicion from the shops she visits	So that Laura can keep a product as payment	To check how good the products at the store are	0	[0 3 2 1]	"[(22, 45)]"	"[(106, 117)]"
1	1	99	4	17	The Secrets of the Mystery Shopper	Adv	"Like most full-time mystery shoppers, Laura is self-employed, taking jobs from ABa and other mystery shopping companies as and when they come up. Her income is typically £30,000 to £40,000 a year and that doesn’t include all the freebies she gets on the job. “With the perks, it’s enough to live on. But I don’t do it because I love shopping. In fact, I hate shopping now. When I’m not working, it pains me to have to go out and buy a pint of milk.” She does, however, find it satisfying to return to a store she has previously mystery shopped and see standards have improved. “I know it must be because of my feedback or why would they pay me to give it? Some of the retailers I shop at win awards for customer service and I think that is down to us mystery shoppers. I feel I’m not just doing a service to my company; I’m doing a service to all shoppers everywhere.”"	2	Does Laura ever go shopping while she is not working as a mystery shopper?	"Yes, but she no longer evaluates a store’s standards when she does"	"No, she doesn’t have to shop because she gets a lot of things for free"	"No, she hates shopping too much to every go when she is not working"	"Yes, she sometimes returns to stores where she mystery shopped"	3	[1 2 3 0]	"[(85, 106)]"	"[(36, 44)]"
1	1	100	5	17	The Secrets of the Mystery Shopper	Ele	"Sadly, regular mystery shopping assignments that pay like Laura’s are few and far between. In fact, competition is so fierce, she keeps her job a closely guarded secret and even her friends and family don’t know who she works for (Laura is not her real name).[a] It’s estimated that more than 500,000 people have registered as mystery shoppers in the UK, but just 10% or less manage to get regular work each month and this has led to a dramatic reduction in compensation. “Where once you got a fee, reimbursement for your purchase and mileage, you now often just receive a contribution towards a purchase,” say Val, a 51-year-old former mystery shopper. “I worked for 40 different mystery shopping companies for almost 20 years but I gave up entirely three years ago because I had bills to pay and very few assignments paid what I considered to be an acceptable rate.”[b] Nowadays, mystery shopping companies mostly rely on the promise of freebies to incentivize their workers. “Marketforce shoppers typically get a couple of pounds for a visit as a token gesture for their time and effort,” says Boydell. “At the most, we’ll pay £15 to £25 plus reimbursement for, say, a meal for two or a hotel stay. We don’t directly employ any shoppers so we don’t have to pay them the minimum wage.” “I’d go on a cruise for nothing,” says Laura. “But I think mystery shopping companies that pay you a nominal fee to travel to a restaurant and eat a meal are exploiting people. I won’t touch those jobs anymore.” There are plenty of people, however, that would."	0	How much does Marketforce pay mystery shoppers?	A few pounds plus expenses	£15 - £25 per hour	Nothing	Minimum wage	0	[0 1 3 2]	"[(166, 208)]"	"[(208, 224)]"
1	1	101	6	17	The Secrets of the Mystery Shopper	Adv	"Hannah, a 41-year-old City lawyer, has conducted nearly 500 visits for the Mystery Dining Company in her spare time without receiving remuneration or travel expenses. As a prestigious “platinum diner”, she is regularly hand-picked by the Mystery Dining Company to carry out their most exclusive assignments, enjoying £200 meals at Michelin-starred Mayfair restaurants, five-star hospitality at Ascot and overnight stays at boutique hotels. But there’s no such thing as a free lunch, even if you work for a mystery dining company. Hannah says she typically spends two to four hours after each visit writing detailed reports on everything from the quality of the food to specific interactions with staff, whom she always needs to be able to name or “subtly” describe. Trickiest of all, she must memorize all these details while eating her meal – unable, of course, to openly write anything down."	0	What is the most likely reason why Hannah works for the Mystery Dining Company?	To pay off her mortgage	To pay for her expensive tastes	To practice writing detailed reports	To experience expensive hotel stays and meals	3	[3 1 2 0]	"[(25, 63)]"	"[(81, 96)]"
1	1	102	1	18	Wealth therapy for the rich	Adv	"Clay Cockrell is sitting in his office at Columbus Circle, across the street from 1 Central Park West, which houses Trump International Hotel and Tower. In front of the tower is Central Park, where Cockrell holds his popular walk and talk therapy sessions. Cockrell, a former Wall Street worker turned therapist, spends large parts of his days walking through Central Park or the Battery Park in downtown Manhattan near Wall Street, as a confidant and counsellor to some of New York’s wealthiest people."	1	What was Cockrell’s previous job?	Wall street worker	Actor	Office worker in Trump International Hotel and Tower	Therapist	0	[0 3 2 1]	"[(43, 51), (0, 0)]"	"[(0, 25)]"
1	1	103	2	18	Wealth therapy for the rich	Int	"“I shifted towards it naturally,” he said of his becoming an expert in wealth therapy. “Many of the extremely wealthy – the 1% of the 1% – feel that their problems are really not problems. But they are. A lot of therapists do not give enough weight to their issues.” So, what issues are America’s 1% struggling with? “There is guilt over being rich in the first place,” he said. “There is the feeling that they have to hide the fact that they are rich. And, then, there is the isolation – being in the 1%, it turns out, can be lonely.” It seems F Scott Fitzgerald was right: the very rich “are different from you and me.” Counsellors argue things have become worse since the financial crisis and the debate over income inequality that has been spurred on by movements like Occupy Wall Street and the Fight for $15 fair wage campaign."	0	Why do the rich hide their wealth?	They do not feel that their problems are real	They feel guilty	They are lonely	They do not want to be stolen from	1	[2 0 1 3]	"[(58, 85)]"	"[(15, 35)]"
1	1	104	3	18	Wealth therapy for the rich	Int	"“The Occupy Wall Street movement was a good one and had some important things to say about income inequality but it singled out the 1% and painted them globally as something negative,” said Jamie Traeger-Muney, a wealth psychologist and founder of the Wealth Legacy Group. The media, she said, is partly to blame for making the rich “feel like they need to hide or feel ashamed”. “Sometimes, I am shocked by things that people say. You would never refer to another group of people in the way that it seems perfectly normal to refer to wealth holders.”"	1	What does Traeger-Muney imply about what people say about wealthy people?	They say the rich should feel ashamed of their wealth	They talk about how wealthy people are perfectly normal	They say wealthy people should share their wealth	They say abnormally mean things	3	[2 1 3 0]	"[(66, 75)]"	"[(45, 66)]"
1	1	105	4	18	Wealth therapy for the rich	Int	"“It’s really isolating to have a lot of money. People’s reactions to you can be scary,” said Barbara Nusbaum, an expert in money psychology. “We are all taught not to talk about money. It’s not polite to talk about money. Ironically, it’s harder to talk about having money than it is to talk about not having money. It’s much more socially acceptable to say 'I am broke. Things are hard.' You can’t say 'I have a ton of money.' You have to keep a lot of your life private.” As a result, Cockrell points out, the rich tend to hang out with other rich Americans, not out of snobbery but in order to be around those who understand them and their problems."	2	What purpose does the quote “I am broke. Things are hard” serve in the article?	It highlights the modern American class struggle	It exemplifies how one has to keep a lot of one’s life private	It gives the testimony of a poor person	It provides an example of an acceptable thing to say in society	3	[3 2 1 0]	"[(24, 79), (89, 122)]"	"[(79, 89)]"
1	1	106	5	18	Wealth therapy for the rich	Adv	"The number of extremely wealthy people has also been climbing. According to research from Spectrem Group, in 2014, the number of US households with $1m or more in assets – excluding the value of their primary home – increased by 500,000 to 10.1m. In 2007, that number was 9.2m. Households worth $5m or more reached 1.3m and 142,000 households are now worth $25m or more. Since the 2008 financial crisis, the income gap has expanded and the situation “has gotten worse for the wealthy”, Cockrell said. The main reason? Not knowing if your friends are friends with you or your money. “Someone else who is also a billionaire – they don’t want anything from you. Never being able to trust your friendships with people of different means, I think that is difficult,” said Cockrell. “As the gap has widened, the rich have become more and more isolated.”"	2	Why have things worsened for the wealthy?	They can only trust friends poorer than them	They experienced extreme financial losses during 2008	There are more wealthy people to compete with	The gap between those with and without money has widened	3	[2 3 1 0]	"[(65, 101)]"	"[(115, 127)]"
1	1	107	6	18	Wealth therapy for the rich	Ele	"“Wealth can be a barrier to connecting with other people,” confessed a spouse of a tech entrepreneur who made about $80m. Some Americans have taken to keeping their wealth secret. “We talk about it as stealth wealth. There are a lot of people that are hiding their wealth because they are concerned about negative judgment,” said Traeger-Muney. If wealthy Americans talk about the unique challenges that come with their wealth, people often dismiss their experience. “People say 'Oh, poor you.' There is not a lot of sympathy there,” she said. “Wealth is still one of our last taboos.” Speaking in his soft, soothing voice that makes you want to spill all your worries, Cockrell said that a common mistake that many of his wealthy clients make is letting their money define them. “I don’t think it’s healthy to discount your problems. If you are part of the 1%, you still have problems and they are legitimate to you. Even when you say, 'I don’t have to struggle for money', there are other parts of your life. Money is not the only thing that defines you,” he said. “Your problems are legitimate.”"	2	What do all of Cockrell’s clients have in common?	They all suffer from depression	They have a lot of money	They lack sympathy for other income brackets	They don’t care about their money	1	[3 0 2 1]	[]	"[(57, 90), (113, 132)]"
1	1	108	1	19	Vienna Named World’s Top City for Quality of Life	Ele	"Vienna is the world’s best city to live in, Baghdad is the worst and London, Paris and New York do not even make it into the top 35, according to international research into quality of life. German-speaking cities dominate the rankings in the 18th Mercer Quality of Life study, with Vienna joined by Zurich, Munich, Dusseldorf and Frankfurt in the top seven. Paris has tumbled down the league, falling ten places to 37th, just ahead of London at 39th, almost entirely because of the city’s vulnerability to terrorist attacks. The study examined social and economic conditions, health, education, housing and the environment, and is used by big companies to assess where they should locate and how much they should pay staff."	1	How do companies use the results of the study?	To decide employee salaries	"To improve economy, health, education, hosing, and the environment"	To improve their marketing campaign	To decide when they should open offices and factories	0	[0 2 3 1]	"[(104, 121)]"	"[(92, 102)]"
